"rm_subgroup","category","covariate","n_obs","beta","se","t_stat","p_classical","p_cor_test","p_waldtest_hc0","p_waldtest_hc3","p_perk","p_perm_reg","classical_sig","cor_test_sig","hc0_sig","hc3_sig","perk_sig","perm_reg_sig","all_agree","covariate_clean"
"RM, Married Parents","K12_Education","High.School.Dropout.Rate..Income.Adjusted.",581,0.332858671734045,0.0391887753273885,8.49372477076145,1.69204347684617e-16,1.69204347684607e-16,1.47683705123569e-14,2.32997324044687e-14,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"HS Dropout Rate"
"RM, Married Parents","Social_Capital","Social.Capital.Index",683,-0.364618762816844,0.0356820096372142,-10.2185601798776,6.66629488079015e-23,6.66629488079136e-23,4.92522711478952e-20,9.58461952155044e-20,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Social Capital Index"
"RM, Married Parents","Social_Capital","Fraction.Religious",695,-0.225435130250444,0.0370090079524341,-6.0913583671355,1.85585013168436e-09,1.85585013168439e-09,3.23665359976607e-07,3.8580831326522e-07,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Religious"
"RM, Married Parents","Social_Capital","Violent.Crime.Rate",668,0.260337999778832,0.0374130448471047,6.95848201724161,8.24614026272214e-12,8.2461402627222e-12,2.02130061119537e-09,2.98667818570428e-09,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Violent Crime Rate"
"RM, Married Parents","Family_Structure","Fraction.of.Children.with.Single.Mothers",695,0.555177417583686,0.0315948841230519,17.571750395458,1.92344086196137e-57,1.92344086196148e-57,1.1149768206543e-56,4.94976977796837e-56,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Single Mothers"
"RM, Married Parents","Family_Structure","Fraction.of.Adults.Divorced",695,0.262583637120476,0.0366538709179628,7.16387193342225,2.01003862928061e-12,2.01003862928055e-12,3.13649270585553e-09,4.21660461374204e-09,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Divorced"
"RM, Married Parents","Family_Structure","Fraction.of.Adults.Married",695,-0.273578793062939,0.0365376447827663,-7.48758697199819,2.13890917126035e-13,2.13890917126041e-13,2.87128097916317e-10,3.87494571700526e-10,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Married"
"RM, Married Parents","Tax","Local.Tax.Rate",695,-0.344088893102087,0.035667270166108,-9.64718890735433,9.49069336222468e-21,9.49069336222412e-21,5.32399369795308e-15,3.32447315496051e-14,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Local Tax Rate"
"RM, Married Parents","Tax","Local.Government.Expenditures.Per.Capita",695,-0.325194845807533,0.0359221603608844,-9.05276415840617,1.39438322381072e-18,1.3943832238108e-18,2.6361928201912e-07,2.1712044035552e-05,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Local Gov Expenditures"
"RM, Married Parents","Tax","State.EITC.Exposure",695,-0.139616988672754,0.0376147996815756,-3.71175680462658,0.000222344375478106,0.000222344375478085,1.61816545707732e-07,2.70948996770812e-07,0,0.0115988401159884,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"State EITC Exposure"
"RM, Married Parents","Tax","State.Income.Tax.Progressivity",695,-0.190483055452016,0.0372913378052329,-5.10797055463336,4.21397832306318e-07,4.21397832306341e-07,2.6230167649944e-08,3.42428734267026e-08,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"State Income Tax Progressivity"
"RM, Married Parents","College","Number.of.Colleges.per.Capita",580,-0.234248442393666,0.0404372226353022,-5.79289147789206,1.13710421958813e-08,1.13710421958815e-08,5.58576073867713e-07,1.77133948845516e-06,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Colleges per Capita"
"RM, Married Parents","College","College.Tuition",576,0.15755678746485,0.0412178680411809,3.82253607361338,0.000146523596871613,0.000146523596871612,0.000127255932314656,0.000154448317235111,0.001,0.0002999700029997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Mean College Tuition"
"RM, Married Parents","College","College.Graduation.Rate..Income.Adjusted.",578,0.00969566444743441,0.0416647081641988,0.232706884906627,0.816071685926867,0.816071685926867,0.817224561868933,0.818729965653203,0.824,0.811418858114189,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"College Grad Rate"
"RM, Married Parents","Local_Labor_Market","Labor.Force.Participation.Rate",695,-0.261033313734581,0.0366698465587038,-7.11847302978755,2.73416863996417e-12,2.73416863996419e-12,2.45741224771548e-11,3.64687409235459e-11,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Labor Force Participation"
"RM, Married Parents","Local_Labor_Market","Manufacturing.Employment.Share",695,0.468995532071059,0.0335500141589892,13.9789965467242,2.67406397509336e-39,2.67406397509309e-39,6.66706235647872e-34,2.0345147722753e-33,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Manufacturing Employment Share"
"RM, Married Parents","Local_Labor_Market","Growth.in.Chinese.Imports.1990.2000",683,0.209033733309982,0.0374735324772927,5.57816996400453,3.50840078171047e-08,3.50840078171049e-08,0.00478147187283854,0.0279642757511175,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Growth in Chinese Imports"
"RM, Married Parents","Local_Labor_Market","Teenage.Labor.Force.Participation.Rate",695,-0.532287771488354,0.0321582874563763,-16.5521180880798,4.18560486902366e-52,4.18560486902252e-52,1.82565279357653e-51,4.46065193463486e-51,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Teen Labor Force Participation"
"RM, Married Parents","Migration","Migration.Inflow.Rate",694,-0.0322560750815122,0.0379945148463681,-0.848966626154869,0.396193448703872,0.396193448703872,0.37241686910348,0.376675596707602,0.386,0.415758424157584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Migration Inflow Rate"
"RM, Married Parents","Migration","Migration.Outlflow.Rate",694,-0.12691111399602,0.0377069160248417,-3.36572510762772,0.000805603050381869,0.000805603050381867,0.000601346744540226,0.000671543374548415,0.001,0.0010998900109989,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Migration Outflow Rate"
"RM, Married Parents","Migration","Frac..Foreign.Born",695,-0.22914378819061,0.036976126698823,-6.1970738594939,9.86939020519987e-10,9.86939020519961e-10,8.19452209919723e-17,2.17436620207525e-16,0,0.0002999700029997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Foreign Born"
