Online Data Table VII,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Parent and Child Income Distributions by Commuting Zone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: This table presents selected characteristics of the income distribution for parents and children by CZ. Column (3) reports the population (from the 2000 census). Columns 5-11 report statistics of the child family income distribution (measured as the 2011-12 mean) for our core sample (1980-82 birth cohorts). Columns 12-18 report statistics of the parent family income distribution (1996-2000 mean) for parents of children in the core sample.  All values are in 2012 dollars and are rounded to the nearest $100.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CZ,CZ Name,State,Children in 1980-82 Cohorts,Mean Child Income,Median Child Income,Child Income P10,Child Income P25,Child Income P75,Child Income P90,Child Income P99,Mean Parent Income,Median Parent Income,Parent Income P10,Parent Income P25,Parent Income P75,Parent Income P90,Parent Income P99
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
,,,,,,,,,,,,,,,,,
8402,Washington,GA,1504,29800,19800,0,8900,41100,72900,132600,46500,29900,10800,17900,57100,94000,229300
8501,Fitzgerald,GA,1207,35100,23400,2400,11100,47100,79100,188900,51200,34500,10800,18500,70700,107400,224600
8502,Cordele,GA,2048,30600,20000,2100,9800,40700,74500,155200,44500,28400,8800,16200,59200,92900,229100
8503,Valdosta,GA,9271,35500,23200,2000,10300,46500,78200,158100,54300,36000,10900,18900,67600,104500,301100
8601,Waycross,GA,4675,34300,24000,1400,11100,47900,80600,159400,49800,34400,10400,19700,64400,100100,252900
8602,Brunswick,GA,3375,37300,23500,1600,10600,48600,82900,174500,65900,44300,11600,21100,80700,122000,415600
8701,Hinesville,GA,4748,33800,24300,1200,10500,46600,76300,151900,50300,41800,11600,20900,66800,92900,178700
8702,Statesboro,GA,3952,33800,21700,1900,10300,45000,78400,160800,49100,32900,9800,17100,64300,101200,243700
8800,Savannah,GA,15189,36900,24600,2100,11500,48900,83600,185800,71700,46600,12400,22500,83700,126300,570000
8900,Macon,GA,15461,36700,24800,2200,11300,51300,82600,159800,68000,49500,12100,22700,87400,124200,377900
9001,Vidalia,GA,4268,35700,24800,1400,11500,50100,82200,163300,49300,32900,10500,17900,63700,101600,225400
9002,Milledgeville,GA,3058,31300,20000,300,9800,40900,74300,171200,53500,37100,13900,21400,71300,109900,252200
9003,Dublin,GA,3178,33700,21800,200,9300,45900,80100,162200,54800,35400,10600,17900,69800,104700,261700
9100,Atlanta,GA,98341,42700,27800,2600,12600,56300,95000,224000,99200,59800,15100,28800,108400,176400,725800
9200,Griffin,GA,5217,35700,23700,1600,11700,46500,80300,161400,55900,41000,12500,22500,72400,103700,265700
9301,Winder,GA,6172,39300,26000,1400,11200,52100,85400,187300,72700,51000,13900,25000,90500,133500,426600
9302,Toccoa,GA,3216,36000,26900,800,11600,51400,80500,166100,53000,40600,12900,22800,68700,97900,237600
9400,Gainesville,GA,8566,40800,30900,2100,13300,57300,86700,173000,71200,53300,14500,26900,84100,124200,397000
9500,Talladega,AL,5584,37300,24300,1400,11200,49400,83200,158300,48800,33900,13000,20100,65000,97200,215000
9600,LaGrange,GA,18078,37900,26600,2000,12400,53000,85300,163800,62500,46800,13300,24100,78100,113000,312200
9701,Columbus,GA,12119,33600,22900,2200,11500,43800,76700,162600,59800,40800,12500,22100,72400,111300,355700
9702,Americus,GA,2362,30500,20200,1100,9900,40300,70900,151800,50400,31800,10800,18200,62500,96700,298700
9800,Auburn,AL,4611,38900,23100,1800,11300,46200,84700,189100,61000,39100,12700,20900,76400,119400,370400
9900,Tallahassee,FL,14988,37000,26100,2000,12000,50700,83600,176100,60300,41000,12200,22100,74800,113600,357800
10000,Panama City,FL,6274,37600,27400,1500,11400,51800,83500,168900,55700,41400,11600,21500,67000,101000,340700
10101,Bainbridge,GA,1860,33600,22600,600,10600,46100,79000,161300,47200,29400,10400,17300,58200,94400,262300
10102,Thomasville,GA,2888,33100,22500,1500,11000,45500,75600,167500,54700,32000,10100,18300,64900,104500,393800
10200,Albany,GA,7924,32600,21300,700,9800,43300,75100,159500,55600,34800,10300,18500,73600,112700,298200
10301,Eufaula,GA,2633,30000,19800,400,9400,40000,71800,152500,44400,27600,10100,16600,52100,95700,253800
