Online Data Table IV,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Intergenerational Mobility Statistics by Metropolitan Statistical Area,,,,,
,,,,,
Notes: This table presents mobility estimates by Metropolitan Statistical Area (CBSA codes) for the core sample. Number of children is the number of children in the MSA used to estimate the mobility statistics. Relative mobility (RM) is the slope from OLS regression of child rank on parent rank within each MSA in core sample using baseline income definitions. Relative mobility can be multiplied by the difference in parent ranks (on a 0-100 scale) to obtain the expected difference in child's rank (on a 0-100 scale).   Absolute upward mobility (AM) is the expected rank of children whose parents are at the 25th percentile of the national income distribution.  Expected ranks at other percentiles P between 0 and 100 can be computed as AM+(P-25)*RM. ,,,,,
,,,,,
,,,,,
,,,No. of Children in Core Sample,Relative Mobility Rank-Rank Slope,Absolute Upward
MSA ID,MSA Name,State,,,Mobility
-1,-2,-3,(4),(5),(6)
32820,Memphis, TN-MS-AR,49419,0.41795,33.72775
32900,Merced, CA,7885,0.25975,42.01275
33100,Miami-Fort Lauderdale-West Palm Beach, FL,72871,0.29643,39.90175
33140,Michigan City-La Porte, IN,4318,0.34939,39.78675
33220,Midland, MI,3286,0.37437,41.26625
33260,Midland, TX,5826,0.30802,49.4665
33340,Milwaukee-Waukesha-West Allis, WI,56351,0.43339,38.50075
33460,Minneapolis-St. Paul-Bloomington, MN-WI,110101,0.33336,44.562
33540,Missoula, MT,3410,0.24758,44.0005
33660,Mobile, AL,16553,0.3991,37.3975
33700,Modesto, CA,16739,0.26232,42.183
33740,Monroe, LA,7329,0.41373,37.37725
33780,Monroe, MI,6578,0.29765,42.67725
33860,Montgomery, AL,14190,0.43175,35.68375
34060,Morgantown, WV,3280,0.32538,45.0755
34100,Morristown, TN,3453,0.34451,38.36575
34580,Mount Vernon-Anacortes, WA,3927,0.26039,44.15775
34620,Muncie, IN,3935,0.40905,36.70825
34740,Muskegon, MI,6944,0.3932,36.889
34820,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,8010,0.33129,36.54125
34900,Napa, CA,3586,0.19051,47.33975
34940,Naples-Immokalee-Marco Island, FL,4209,0.28297,40.41725
34980,Nashville-Davidson--Murfreesboro--Franklin, TN,48568,0.35353,38.23525
35100,New Bern, NC,4121,0.34624,37.198
35300,New Haven-Milford, CT,25358,0.36315,41.88075
35380,New Orleans-Metairie, LA,55851,0.39688,38.198
35620,New York-Newark-Jersey City, NY-NJ-PA,522716,0.3379,43.9295
35660,Niles-Benton Harbor, MI,6768,0.40559,38.45475
35840,North Port-Sarasota-Bradenton, FL,14638,0.3144,38.874
35980,Norwich-New London, CT,8355,0.32388,42.773
36100,Ocala, FL,7743,0.34447,38.27075
36140,Ocean City, NJ,3477,0.34725,42.68625
36220,Odessa, TX,5864,0.26519,50.79175
36260,Ogden-Clearfield, UT,26052,0.26837,46.46225
36420,Oklahoma City, OK,42664,0.33747,42.32275
36500,Olympia-Tumwater, WA,8479,0.27136,42.18
36540,Omaha-Council Bluffs, NE-IA,30684,0.36337,42.66225
36740,Orlando-Kissimmee-Sanford, FL,52690,0.32491,39.16275
36780,Oshkosh-Neenah, WI,5541,0.33383,44.54275
36980,Owensboro, KY,4826,0.36659,43.00875
37100,Oxnard-Thousand Oaks-Ventura, CA,25331,0.23897,44.45125
37340,Palm Bay-Melbourne-Titusville, FL,15098,0.30681,39.53325
37460,Panama City, FL,5942,0.33162,39.4015
37620,Parkersburg-Vienna, WV,3584,0.38013,39.52325
37860,Pensacola-Ferry Pass-Brent, FL,14880,0.3414,39.367
37900,Peoria, IL,14891,0.39969,41.18525
37980,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,196566,0.39167,40.67175
38060,Phoenix-Mesa-Scottsdale, AZ,97151,0.29236,40.353
38220,Pine Bluff, AR,4577,0.41329,36.33225
38300,Pittsburgh, PA,83232,0.36483,44.79475
38340,Pittsfield, MA,4655,0.30928,42.472
38540,Pocatello, ID,3622,0.25952,43.107
38860,Portland-South Portland, ME,17181,0.27244,43.509
38900,Portland-Vancouver-Hillsboro, OR-WA,67370,0.2766,41.297
38940,Port St. Lucie, FL,8939,0.30938,38.0405
39140,Prescott, AZ,4777,0.23533,43.16825
39300,Providence-Warwick, RI-MA,49803,0.33327,43.36875
39340,Provo-Orem, UT,17300,0.18401,49.16025
39380,Pueblo, CO,5172,0.3684,39.233
39460,Punta Gorda, FL,2935,0.236,41.853
39540,Racine, WI,7992,0.38326,39.5955
39580,Raleigh, NC,23627,0.38556,38.028
39660,Rapid City, SD,5218,0.33304,44.303
39740,Reading, PA,12686,0.37756,44.295
39820,Redding, CA,6570,0.3102,41.943
39900,Reno, NV,10154,0.28102,41.0555
40060,Richmond, VA,37262,0.39969,37.84425
40140,Riverside-San Bernardino-Ontario, CA,113709,0.2452,41.881
40220,Roanoke, VA,9683,0.37854,39.6135
40340,Rochester, MN,7540,0.2563,50.1655
40380,Rochester, NY,39345,0.37473,40.95225
40420,Rockford, IL,12299,0.37014,38.4375
40580,Rocky Mount, NC,5680,0.42532,34.883
40660,Rome, GA,3025,0.37617,36.11825
40900,Sacramento--Roseville--Arden-Arcade, CA,58963,0.26063,42.56075
40980,Saginaw, MI,8426,0.37191,37.53375
41060,St. Cloud, MN,7554,0.24297,52.77525
41100,St. George, UT,4114,0.22634,45.8345
41140,St. Joseph, MO-KS,4687,0.36575,42.37175
41180,St. Louis, MO-IL,107487,0.40712,39.034
41420,Salem, OR,12681,0.28985,41.03725
41500,Salinas, CA,11876,0.21664,43.621
41540,Salisbury, MD-DE,10478,0.39691,38.32475
41620,Salt Lake City, UT,43705,0.26492,45.756
41660,San Angelo, TX,4407,0.33205,43.09025
41700,San Antonio-New Braunfels, TX,65778,0.32104,41.057
41740,San Diego-Carlsbad, CA,82253,0.23677,44.27025
41860,San Francisco-Oakland-Hayward, CA,108420,0.25031,44.50875
41940,San Jose-Sunnyvale-Santa Clara, CA,49457,0.23348,45.507
42020,San Luis Obispo-Paso Robles-Arroyo Grande, CA,7712,0.20274,45.1465
42100,Santa Cruz-Watsonville, CA,7957,0.21367,43.44975
42140,Santa Fe, NM,4249,0.23537,40.47525
42200,Santa Maria-Santa Barbara, CA,11308,0.22306,44.4415
42220,Santa Rosa, CA,14776,0.22912,43.572
42340,Savannah, GA,11025,0.35587,36.06575
42540,Scranton--Wilkes-Barre--Hazleton, PA,18790,0.33644,45.946
42660,Seattle-Tacoma-Bellevue, WA,102647,0.27388,43.282
42680,Sebastian-Vero Beach, FL,3179,0.30813,38.87725
42700,Sebring, FL,2295,0.32163,39.43975
43100,Sheboygan, WI,4590,0.31785,46.32125
43300,Sherman-Denison, TX,4499,0.3431,41.3385
43340,Shreveport-Bossier City, LA,18158,0.43417,37.78225
43420,Sierra Vista-Douglas, AZ,4417,0.26541,42.88025
43580,Sioux City, IA-NE-SD,7435,0.31325,48.01025
43620,Sioux Falls, SD,7426,0.27084,49.417
43780,South Bend-Mishawaka, IN-MI,12256,0.39448,38.751
43900,Spartanburg, SC,10044,0.40902,36.6885
44060,Spokane-Spokane Valley, WA,18889,0.30915,42.15875
44100,Springfield, IL,8059,0.40032,39.874
44140,Springfield, MA,20060,0.37542,41.2285
44180,Springfield, MO,13091,0.31478,41.8365
44220,Springfield, OH,5709,0.41018,36.5415
44300,State College, PA,3504,0.2838,47.322
44420,Staunton-Waynesboro, VA,3751,0.35139,41.16575
44700,Stockton-Lodi, CA,19533,0.25286,42.6105
44940,Sumter, SC,4588,0.38953,36.36425
45060,Syracuse, NY,24608,0.37497,41.32925
45220,Tallahassee, FL,11105,0.37763,36.80275
45300,Tampa-St. Petersburg-Clearwater, FL,64012,0.33546,39.1325
45460,Terre Haute, IN,6541,0.37279,41.84975
45500,Texarkana, TX-AR,5935,0.38444,39.101
45540,The Villages, FL,1251,0.37842,37.6265
45780,Toledo, OH,23721,0.38553,37.96325
45820,Topeka, KS,9333,0.34794,42.6105
45940,Trenton, NJ,10670,0.40128,39.369
46060,Tucson, AZ,26125,0.30529,38.98425
46140,Tulsa, OK,33456,0.34399,41.29275
46220,Tuscaloosa, AL,7558,0.41467,37.28175
46340,Tyler, TX,6806,0.35984,41.298
46520,Urban Honolulu, HI,27530,0.23172,44.83
46540,Utica-Rome, NY,11093,0.35141,43.79425
46660,Valdosta, GA,4318,0.40881,35.97525
46700,Vallejo-Fairfield, CA,15017,0.257,42.803
47020,Victoria, TX,4139,0.36358,43.6315
47220,Vineland-Bridgeton, NJ,5448,0.40003,39.13875
47260,Virginia Beach-Norfolk-Newport News, VA-NC,57888,0.38903,37.98675
47300,Visalia-Porterville, CA,14410,0.28518,42.1335
47380,Waco, TX,9003,0.4038,39.085
47460,Walla Walla, WA,2144,0.27664,43.804
47580,Warner Robins, GA,5926,0.35717,37.30325
47900,Washington-Arlington-Alexandria, DC-VA-MD-WV,150759,0.32988,43.074
47940,Waterloo-Cedar Falls, IA,6432,0.36447,46.41475
48060,Watertown-Fort Drum, NY,4405,0.36339,43.17175
48140,Wausau, WI,5049,0.25531,49.87475
48260,Weirton-Steubenville, WV-OH,5087,0.41037,41.03725
48300,Wenatchee, WA,3859,0.26601,44.95325
48540,Wheeling, WV-OH,5641,0.34668,44.87
48620,Wichita, KS,23067,0.32904,41.588
48660,Wichita Falls, TX,5581,0.32757,43.85625
48700,Williamsport, PA,4485,0.35872,45.423
48900,Wilmington, NC,6124,0.35009,35.91025
49020,Winchester, VA-WV,3834,0.36162,41.2865
49180,Winston-Salem, NC,18077,0.40034,36.2365
49340,Worcester, MA-CT,28848,0.33381,43.70125
49420,Yakima, WA,8712,0.30401,42.87325
49620,York-Hanover, PA,13433,0.36285,44.17225
49660,Youngstown-Warren-Boardman, OH-PA,22349,0.39396,40.469
49700,Yuba City, CA,5143,0.2694,43.634
49740,Yuma, AZ,5447,0.24131,43.98675
