CZ,CZ Name,State,Children in 1980-85 Cohorts,P(Child q1 |Par q1),P(Child q2 |Par q1),P(Child q3 |Par q1),P(Child q4 |Par q1),P(Child q5 |Par q1),P(Child q1 |Par q2),P(Child q2 |Par q2),P(Child q3 |Par q2),P(Child q4 |Par q2),P(Child q5 |Par q2),P(Child q1 |Par q3),P(Child q2 |Par q3),P(Child q3 |Par q3),P(Child q4 |Par q3),P(Child q5 |Par q3),P(Child q1 |Par q4),P(Child q2 |Par q4),P(Child q3 |Par q4),P(Child q4 |Par q4),P(Child q5 |Par q4),P(Child q1 |Par q5),P(Child q2 |Par q5),P(Child q3 |Par q5),P(Child q4 |Par q5),P(Child q5 |Par q5),P(Par q1),P(Par q2),P(Par q3),P(Par q4),P(Par q5),P(Child Q1),P(Child Q2),P(Child Q3),P(Child Q4),P(Child Q5)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24400,Rockford,IL,50237,0.3362665,0.2881835,0.1778755,0.1241358,0.0735387,0.2303499,0.2342799,0.2237576,0.1793864,0.1322262,0.171583,0.2049783,0.2222517,0.2184427,0.1827443,0.1299876,0.173754,0.2015049,0.2416816,0.2530719,0.0995103,0.1247796,0.1692458,0.2530852,0.353379,0.1266795,0.1570157,0.2247148,0.2883532,0.2032367,0.1750304,0.1948166,0.2001115,0.2141051,0.2159365
24500,Rolla,MO,8717,0.3325516,0.2542214,0.1974672,0.1360225,0.0797373,0.2146797,0.2409843,0.210437,0.1981332,0.1357658,0.1435284,0.2080308,0.234088,0.2490389,0.165314,0.1302289,0.1436464,0.2099448,0.2644041,0.2517759,0.0983871,0.1290323,0.1887097,0.266129,0.3177419,0.2445796,0.2703912,0.2685557,0.1453482,0.0711254,0.2038545,0.2132614,0.2119995,0.2110818,0.1598027
24600,Farmington,MO,11322,0.3325688,0.2576452,0.1896024,0.1349388,0.0852446,0.2319109,0.232282,0.2,0.2096475,0.1261595,0.1528053,0.1947195,0.2052805,0.2475248,0.19967,0.1008604,0.1381453,0.1988528,0.2719885,0.290153,0.087739,0.12036,0.151856,0.2755905,0.3644544,0.2310546,0.2380321,0.2676206,0.184773,0.0785197,0.1984632,0.2019078,0.1950185,0.2192192,0.1853913
24701,St. Louis,MO,192619,0.3876583,0.3097998,0.1622836,0.0897351,0.0505231,0.2623722,0.265738,0.2097981,0.1554787,0.1066131,0.1714213,0.2108909,0.2246035,0.2105799,0.1825045,0.1219556,0.1618894,0.2143635,0.2420064,0.259785,0.0941162,0.1246623,0.1749497,0.2428052,0.3634665,0.1652329,0.1665879,0.1836216,0.228939,0.2556186,0.1912169,0.2031108,0.196803,0.1968653,0.212004
24702,Mexico,MO,3009,0.3171171,0.2630631,0.1963964,0.1477478,0.0756757,0.1915185,0.2134063,0.2380301,0.2175103,0.1395349,0.137931,0.1617122,0.2175981,0.2497027,0.2330559,0.102107,0.1442464,0.2171799,0.286872,0.2495948,0.090566,0.1245283,0.1962264,0.245283,0.3433962,0.1844467,0.2429378,0.2794949,0.2050515,0.0880691,0.1724826,0.1861083,0.2166833,0.2303091,0.1944167
24801,Jacksonville,IL,6871,0.3150443,0.2566372,0.1920354,0.1451328,0.0911504,0.1920152,0.2262357,0.2129278,0.2040558,0.1647655,0.1317204,0.1774193,0.222043,0.2419355,0.2268817,0.0794872,0.1358974,0.2038462,0.2724359,0.3083333,0.0928668,0.1130552,0.1722746,0.2543741,0.3674293,0.1644593,0.2296609,0.270703,0.2270412,0.1081356,0.1596565,0.1852714,0.2055014,0.2255858,0.2239849
24802,Springfield,IL,21656,0.373716,0.2951662,0.1583082,0.1054381,0.0673716,0.2222222,0.2545406,0.204594,0.1821581,0.136485,0.153863,0.1986392,0.215101,0.2302458,0.202151,0.112006,0.1466567,0.2105263,0.2511706,0.2796404,0.0885915,0.1276822,0.174846,0.2341194,0.374761,0.1528445,0.1728851,0.2103805,0.2465368,0.2173532,0.1747784,0.194819,0.1947266,0.2088567,0.2268194
24900,Edwardsville,IL,31683,0.3467886,0.2700338,0.1674289,0.128455,0.0872937,0.2331242,0.2262788,0.196235,0.191101,0.1532611,0.1623385,0.1856975,0.2046196,0.2271956,0.2201488,0.1157641,0.1484958,0.1932611,0.2515042,0.2909747,0.0955367,0.11564,0.1696791,0.2460347,0.3731095,0.1587287,0.1659881,0.2418647,0.2622858,0.1711328,0.1797178,0.1840735,0.188366,0.2151311,0.2327116
25000,Quincy,IL,12325,0.3026977,0.2528578,0.1883859,0.166438,0.0896205,0.1993127,0.207331,0.2092402,0.2321497,0.1519664,0.1284247,0.1669521,0.2186073,0.2682648,0.2177511,0.0841713,0.1318436,0.1977654,0.2834264,0.3027933,0.0834586,0.1022556,0.1654135,0.2676692,0.381203,0.1774442,0.2124949,0.2843002,0.2178499,0.1079108,0.1599189,0.176146,0.2009736,0.2457606,0.2172008
25101,Mountain Home,AR,4041,0.2908951,0.2569444,0.2098765,0.1527778,0.0895062,0.2051282,0.2298851,0.2404951,0.2113174,0.1131742,0.1363636,0.20671,0.2359307,0.2380952,0.1829004,0.1176471,0.1855204,0.1945701,0.2375566,0.2647059,0.1330645,0.1532258,0.1572581,0.1895161,0.3669355,0.3207127,0.2798812,0.2286563,0.1093789,0.0613709,0.2029201,0.223707,0.2195001,0.200198,0.1536748
25102,West Plains,MO,7113,0.2816311,0.2621951,0.2122713,0.1623476,0.0815549,0.1907433,0.2201964,0.2463768,0.2220664,0.1206171,0.1378116,0.1786704,0.2195291,0.2707756,0.1932133,0.1050903,0.1428571,0.2495895,0.2561576,0.2463054,0.1077441,0.1380471,0.1717172,0.3164983,0.2659933,0.368902,0.300717,0.2030086,0.0856179,0.0417545,0.2027274,0.2172079,0.2255026,0.2167862,0.1377759
25103,Harrison,AR,5682,0.2962963,0.2393162,0.2051282,0.1595442,0.0997151,0.1847025,0.2458923,0.2232295,0.2107649,0.1354108,0.1386623,0.1843393,0.2430669,0.2340946,0.1998369,0.1285476,0.1318865,0.2036728,0.2838064,0.2520868,0.1364985,0.1275964,0.1424332,0.2462908,0.347181,0.3088701,0.3106301,0.2157691,0.1054206,0.0593101,0.2004576,0.2115452,0.2150651,0.2097853,0.1631468
25104,Heber Springs,AR,3347,0.2990654,0.2531861,0.173322,0.1648258,0.1096007,0.2141393,0.1803279,0.2315574,0.2243852,0.1495902,0.1333333,0.1875,0.2194444,0.2305555,0.2291667,0.1182109,0.1405751,0.1884984,0.2811502,0.2715655,0.1055901,0.0931677,0.173913,0.2484472,0.378882,0.3516582,0.2916044,0.215118,0.0935166,0.0481028,0.212429,0.1995817,0.2016731,0.2112339,0.1750822
25105,Batesville,AR,4812,0.3119134,0.2404332,0.1805054,0.1711191,0.0960289,0.1987721,0.2271681,0.23868,0.2041443,0.1312356,0.1397059,0.1930147,0.2150735,0.2527573,0.1994485,0.134349,0.1288089,0.1925208,0.2686981,0.2756233,0.111465,0.133758,0.1719745,0.2452229,0.3375796,0.2878221,0.2707814,0.2261014,0.1500416,0.0652535,0.2026184,0.2024106,0.20532,0.2179967,0.1716542
25200,Henderson,KY,11928,0.3563707,0.2405405,0.1779923,0.1258687,0.0992278,0.2472178,0.2058824,0.2031002,0.1868045,0.1569952,0.1638418,0.1779661,0.1963277,0.220339,0.2415254,0.1227602,0.1277164,0.1849028,0.2550515,0.3095692,0.1089978,0.1016825,0.1631309,0.2640819,0.3621068,0.2171361,0.2109323,0.2374246,0.2199028,0.1146043,0.2079142,0.1776492,0.1874581,0.2053991,0.2215795
25300,Union City,TN,8424,0.3516537,0.2855058,0.1643969,0.1245136,0.07393,0.2480169,0.2437863,0.2025383,0.197779,0.1078794,0.158,0.205,0.2075,0.23,0.1995,0.1311576,0.1422414,0.1871921,0.2616995,0.2777094,0.1137163,0.1348183,0.1547479,0.2356389,0.3610786,0.2440646,0.2244777,0.2374169,0.1927825,0.1012583,0.215812,0.21415,0.1866097,0.2037037,0.1797246
25401,Paducah,KY,10097,0.3660309,0.277475,0.1639419,0.1180745,0.0744777,0.2388137,0.2367326,0.198231,0.1893861,0.1368366,0.176416,0.1963788,0.2051996,0.2270195,0.1949861,0.1322751,0.1419753,0.1962081,0.2425044,0.287037,0.103804,0.1115409,0.1521599,0.2514507,0.3810445,0.2180846,0.1903536,0.2133307,0.2246212,0.15361,0.2085768,0.196494,0.1847083,0.2033277,0.2068931
25402,Murray,KY,1976,0.3454545,0.2704546,0.1795454,0.1340909,0.0704545,0.2417582,0.2241758,0.178022,0.2131868,0.1428571,0.1627907,0.1837209,0.2372093,0.2604651,0.1558139,0.1165501,0.1911422,0.1841492,0.2610722,0.2470862,0.1351351,0.1891892,0.1351351,0.2252252,0.3153153,0.2226721,0.2302632,0.2176113,0.2171053,0.1123482,0.208502,0.2145749,0.187753,0.2176113,0.1715587
25500,Centralia,IL,11958,0.3219678,0.2615684,0.1880175,0.1471018,0.0813444,0.2088496,0.2265487,0.2128319,0.2061947,0.1455752,0.1282294,0.1754883,0.2025835,0.2533081,0.2403907,0.0930311,0.1343031,0.1850474,0.2567659,0.3308525,0.0811881,0.0937294,0.1518152,0.2587459,0.4145215,0.1716842,0.1889948,0.265429,0.2471985,0.1266934,0.1620672,0.1793778,0.1912527,0.2277137,0.2395886
25601,Carbondale,IL,19089,0.3393218,0.2755446,0.1765102,0.1295756,0.0790478,0.2218268,0.2310795,0.2011862,0.196204,0.1497034,0.1394515,0.1924051,0.2046414,0.2434599,0.2200422,0.1146652,0.1504473,0.1829764,0.2599621,0.291949,0.1024096,0.122992,0.1616466,0.2369478,0.376004,0.2332757,0.2208078,0.2483106,0.1932527,0.1043533,0.19561,0.2049872,0.1886427,0.2089685,0.2017916
25602,Harrisburg,IL,2887,0.3746702,0.2335092,0.151715,0.1279683,0.1121372,0.2215657,0.1816839,0.1669129,0.2038405,0.225997,0.1373938,0.1430595,0.1770538,0.2563739,0.286119,0.1196911,0.1003861,0.1602317,0.2432432,0.3764479,0.0964912,0.0921053,0.1535088,0.1754386,0.4824561,0.2625563,0.2344995,0.2445445,0.179425,0.0789747,0.2130239,0.1641843,0.1631451,0.2015934,0.2580533
25701,Cape Girardeau,MO,14901,0.3724227,0.2675258,0.1760309,0.1239691,0.0600515,0.2185585,0.2398599,0.2162241,0.1995915,0.125766,0.1291002,0.197111,0.219681,0.2362323,0.2178754,0.1126076,0.1533857,0.2031425,0.2547699,0.2760943,0.0863579,0.1232791,0.1789737,0.2503129,0.3610764,0.2603852,0.2299846,0.2230052,0.1793839,0.1072411,0.2054896,0.2095161,0.2001879,0.2034092,0.1813972
25702,Poplar Bluff,MO,5727,0.3369928,0.2797136,0.1742243,0.1422434,0.0668258,0.2097284,0.2457359,0.2185723,0.2015161,0.1244472,0.1340018,0.1941659,0.2406563,0.2579763,0.1731996,0.1442623,0.1721312,0.2163934,0.2393443,0.2278689,0.1169591,0.122807,0.1900585,0.2397661,0.3304093,0.3658111,0.27641,0.1915488,0.106513,0.0597171,0.2292649,0.2331063,0.2046447,0.1969618,0.1360223
25800,Blytheville,AR,9108,0.366685,0.3213304,0.1649258,0.095657,0.0514019,0.2626094,0.2867862,0.198416,0.148812,0.1033764,0.1861413,0.2146739,0.2275815,0.2017663,0.169837,0.1259766,0.1464844,0.2050781,0.2285156,0.2939453,0.0973913,0.1095652,0.186087,0.2173913,0.3895652,0.3994291,0.2633948,0.1616162,0.1124286,0.0631313,0.2660299,0.2619675,0.1897233,0.1494291,0.1328502
25900,Jonesboro,AR,14565,0.3344516,0.2593548,0.192,0.1331613,0.0810323,0.2321515,0.243322,0.2192812,0.189898,0.1153473,0.1594853,0.2082585,0.214243,0.2259126,0.1921005,0.132002,0.1617146,0.1938626,0.2484169,0.2640039,0.1121495,0.1257434,0.1682243,0.2336449,0.3602379,0.2660488,0.2827326,0.2294542,0.1409543,0.0808102,0.2188809,0.2185376,0.2031583,0.1948507,0.1645726
26001,Roseau,MN,2087,0.1696429,0.15625,0.2276786,0.2589286,0.1875,0.1303602,0.1715266,0.2658662,0.2264151,0.2058319,0.1004498,0.1349325,0.2563718,0.2683658,0.2398801,0.0635965,0.1513158,0.2171053,0.2807018,0.2872807,0.0506329,0.0759494,0.1962025,0.2594937,0.4177215,0.1072797,0.2792146,0.3194444,0.2183908,0.0756705,0.1044061,0.1465517,0.2428161,0.2576628,0.2485632
26002,Duluth,MN,23305,0.3238636,0.2470096,0.1916866,0.1483254,0.0891148,0.2104072,0.2267471,0.2129211,0.1955757,0.1543489,0.1395506,0.1843217,0.2170975,0.2400743,0.2189559,0.0982279,0.1558204,0.2037886,0.2465628,0.2956004,0.0824332,0.1202388,0.1861853,0.2367823,0.3743604,0.1434885,0.170693,0.2539798,0.2808839,0.1509547,0.1578631,0.1828792,0.2043338,0.2206393,0.2342845
26003,West Cook UT,MN,368,0.2542373,0.2881356,0.1864407,0.1694915,0.1016949,0.1976744,0.1744186,0.2906977,0.1976744,0.1395349,0.1340206,0.1752577,0.2474227,0.2061856,0.2371134,0.0322581,0.1397849,0.344086,0.2580645,0.2258064,0.0344828,0.137931,0.2413793,0.3448276,0.2413793,0.1620879,0.2362637,0.2664835,0.2554945,0.0796703,0.1346154,0.1813187,0.271978,0.2225275,0.1895604
26004,International Falls,MN,1255,0.2288557,0.2089552,0.238806,0.1492537,0.1741294,0.1908714,0.1576764,0.253112,0.2323651,0.1659751,0.1380368,0.1748466,0.2055215,0.2453988,0.2361963,0.1021021,0.1531532,0.1801802,0.2522523,0.3123123,0.0974026,0.1233766,0.1428571,0.2727273,0.3636364,0.1601594,0.1920319,0.2597609,0.2653387,0.1227092,0.1482072,0.1649402,0.2055777,0.2326693,0.2486056
26101,Moberly,MO,4739,0.3062302,0.2344245,0.2027455,0.155227,0.1013728,0.2050275,0.212883,0.2309505,0.2073841,0.1437549,0.1404779,0.1788559,0.2425778,0.2541637,0.1839247,0.0800478,0.1648746,0.2066906,0.2843489,0.2640382,0.1063123,0.1262458,0.1528239,0.2458472,0.3687708,0.1998312,0.2686221,0.2914117,0.1766195,0.0635155,0.1780967,0.1932897,0.2194556,0.2266301,0.182528
26102,Marshall,MO,4044,0.3241296,0.2364946,0.1920768,0.152461,0.0948379,0.2289935,0.2049862,0.212373,0.2188366,0.1348107,0.1309735,0.180531,0.2123894,0.2477876,0.2283186,0.0794798,0.1242775,0.1921965,0.2760116,0.3280347,0.0686275,0.1143791,0.1666667,0.2222222,0.4281046,0.2059842,0.2678041,0.2794263,0.1711177,0.0756677,0.1834817,0.1839763,0.2012859,0.2232938,0.2079624
26103,Brookfield,MO,2088,0.3163017,0.2092457,0.189781,0.1727494,0.1119221,0.1394231,0.1666667,0.2019231,0.2772436,0.2147436,0.089701,0.1611296,0.1960133,0.3106312,0.2425249,0.0714286,0.1242236,0.1863354,0.2608696,0.3571429,0.031746,0.1031746,0.1587302,0.3174603,0.3888889,0.1971223,0.2992806,0.288729,0.1544365,0.0604317,0.1429257,0.1630695,0.1928058,0.266187,0.235012
26104,Trenton,MO,1088,0.2791667,0.2083333,0.2208333,0.1833333,0.1083333,0.2044025,0.1823899,0.172956,0.2830189,0.1572327,0.1380471,0.1481481,0.2255892,0.2760943,0.2121212,0.0625,0.11875,0.21875,0.29375,0.30625,0.0684932,0.1780822,0.2054795,0.2054795,0.3424658,0.2205882,0.2922794,0.2729779,0.1470588,0.0670956,0.1727941,0.1691176,0.2068015,0.2555147,0.1957721
26105,Polk,MO,881,0.2074689,0.2655602,0.2572614,0.1825726,0.0871369,0.1744967,0.2114094,0.2281879,0.2281879,0.1577181,0.1330275,0.1651376,0.2201835,0.266055,0.2155963,0.0638298,0.1170213,0.1914894,0.3510638,0.2765957,0.0789474,0,0.2631579,0.2105263,0.4473684,0.2710911,0.3352081,0.2452193,0.1057368,0.0427447,0.1574803,0.1957255,0.231721,0.2373453,0.1777278
26106,Centerville,IA,2424,0.2413127,0.23552119999999999,0.1969112,0.1795367,0.1467181,0.1764706,0.1975867,0.2171946,0.224736,0.1840121,0.1248247,0.1570828,0.2215989,0.256662,0.2398317,0.0598086,0.1196172,0.2177033,0.2703349,0.3325359,0.0769231,0.1196581,0.1965812,0.2649573,0.3418804,0.2132565,0.2729518,0.2935364,0.1720873,0.048168,0.1502676,0.1766159,0.2132565,0.2342528,0.2256072
26107,Kirksville,MO,2550,0.2757417,0.2338569,0.2146597,0.1623037,0.113438,0.1775312,0.2149792,0.223301,0.2260749,0.1581137,0.1175468,0.1908007,0.2470187,0.2606474,0.1839864,0.1140777,0.1213592,0.2208738,0.288835,0.2548544,0.1128405,0.1478599,0.1789883,0.2412451,0.3190661,0.2247059,0.2827451,0.2301961,0.1615686,0.1007843,0.1690196,0.1917647,0.2219608,0.2313726,0.1858824
26201,Bismarck,ND,10575,0.2128852,0.2156863,0.210084,0.1746032,0.1867414,0.1086545,0.1844599,0.2103601,0.2267846,0.269741,0.0920097,0.1299435,0.2017756,0.2477805,0.3284907,0.073136,0.1021628,0.1855435,0.2484348,0.3907228,0.0715397,0.0995334,0.1591498,0.2306895,0.4390876,0.1012766,0.1496927,0.2343262,0.3322932,0.1824113,0.0967376,0.1320095,0.1907329,0.2343262,0.3461939
26202,East Grant UT,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26203,Linton,ND,823,0.1141304,0.1032609,0.1902174,0.2934783,0.298913,0.0471014,0.1413043,0.2065217,0.2862319,0.3188406,0.0502283,0.1050228,0.1872146,0.2739726,0.3835616,0.0350877,0.0789474,0.131579,0.3245614,0.4298246,0.0869565,0.2173913,0,0.3043478,0.3913043,0.2254902,0.3382353,0.2683823,0.1397059,0.0281863,0.0625,0.1164216,0.1813726,0.2904412,0.3492647
26204,Steele,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26301,Devils Lake,ND,2175,0.3896104,0.1892393,0.1706865,0.1539889,0.096475,0.1911504,0.1876106,0.1840708,0.2106195,0.2265487,0.0863309,0.118705,0.1942446,0.2715827,0.3291367,0.0807799,0.1058496,0.1866295,0.2506964,0.3760446,0.0705128,0.0897436,0.1474359,0.2051282,0.4871795,0.2478161,0.2597701,0.2556322,0.1650575,0.0717241,0.1866667,0.1498851,0.1811494,0.2183908,0.2639081
26302,Carrington,ND,616,0.1444445,0.1666667,0.2333333,0.1222222,0.3333333,0.0675676,0.1283784,0.222973,0.2702703,0.3108108,0.044335,0.0886699,0.1724138,0.2955665,0.3990148,0.0882353,0.0392157,0.1372549,0.4019608,0.3333333,0.0147059,0.0588235,0.0735294,0.2647059,0.5882353,0.1472995,0.2422259,0.3322422,0.1669394,0.111293,0.0687398,0.0981997,0.1767594,0.2782324,0.3780687
26303,Turtle Mountain UT,ND,1854,0.4454829,0.2320872,0.1401869,0.0996885,0.0825545,0.2859649,0.2087719,0.177193,0.1824561,0.145614,0.1559889,0.1977716,0.2256267,0.183844,0.2367688,0.1822917,0.1614583,0.1822917,0.2083333,0.265625,0.1555556,0.0888889,0.2333333,0.2222222,0.3,0.3464652,0.3076093,0.1937399,0.1036158,0.0485699,0.2989746,0.2039935,0.1770103,0.1586616,0.16136
26304,Minot,ND,6505,0.1678404,0.2030516,0.1983568,0.2065728,0.2241784,0.1189152,0.1515994,0.2232267,0.2253129,0.2809457,0.082762,0.1312439,0.1934378,0.2546523,0.337904,0.0648022,0.1125512,0.1718963,0.2592087,0.3915416,0.0622348,0.0933522,0.1513437,0.2263083,0.466761,0.1309762,0.2210607,0.3139124,0.2253651,0.1086856,0.0956188,0.1368178,0.1912375,0.2398155,0.3365104
26305,Rugby,ND,1027,0.1573034,0.1797753,0.2247191,0.2191011,0.2191011,0.0944056,0.1223776,0.2272727,0.2202797,0.3356643,0.0673759,0.0921986,0.1382979,0.3014185,0.4007092,0.0558376,0.0507614,0.1725888,0.2436548,0.4771574,0.047619,0.1071429,0.0714286,0.3333333,0.4404762,0.1733204,0.278481,0.2745862,0.1918208,0.0817916,0.0866602,0.1090555,0.1791626,0.2560857,0.369036
26401,Ekalaka,SD,304,0.1486486,0.1216216,0.2027027,0.2972973,0.2297297,0.104,0.144,0.176,0.16,0.416,0.1621622,0.1351351,0.1756757,0.2972973,0.2297297,0.0967742,0.0645161,0.1935484,0.1935484,0.4516129,0.2,0.4,0.1,0.1,0.2,0.2356688,0.3980892,0.2356688,0.0987261,0.0318471,0.1305732,0.1369427,0.1815287,0.2261146,0.3248408
26402,Baker,MT,353,0.1489362,0.1702128,0.1489362,0.3191489,0.212766,0.1333333,0.1333333,0.1777778,0.2222222,0.3333333,0.048,0.096,0.16,0.2,0.496,0.0985916,0.1126761,0.084507,0.1971831,0.5070422,0.08,0.08,0.04,0.24,0.56,0.1312849,0.2513967,0.349162,0.198324,0.0698324,0.0949721,0.1173184,0.1396648,0.2234637,0.424581
26403,Bowman,ND,383,0.0757576,0.0909091,0.1060606,0.2575758,0.469697,0.1111111,0.1111111,0.1965812,0.2393162,0.3418804,0.0377358,0.0471698,0.1603774,0.2830189,0.4716981,0,0.0655738,0.2295082,0.2786885,0.4262295,0.0882353,0.0294118,0.0294118,0.2647059,0.5882353,0.171875,0.3046875,0.2760417,0.1588542,0.0885417,0.0651042,0.0755208,0.1614583,0.2630208,0.4348958
26404,Lemmon,ND,865,0.1363636,0.1363636,0.1753247,0.1948052,0.3571429,0.1015873,0.1587302,0.1587302,0.2031746,0.3777778,0.073913,0.0782609,0.1826087,0.3043478,0.3608696,0.0344828,0.0689655,0.1465517,0.2931035,0.4568965,0.1041667,0.125,0.1666667,0.2708333,0.3333333,0.1784473,0.3650058,0.2665122,0.1344148,0.0556199,0.0915411,0.1193511,0.1668598,0.2444959,0.377752
26405,Scobey,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26406,Wolf Point,MT,1331,0.4509018,0.2264529,0.1242485,0.1042084,0.0941884,0.2837466,0.1955923,0.1625344,0.1652893,0.1928375,0.1378092,0.1731449,0.2226148,0.1978799,0.2685512,0.1741935,0.1096774,0.1935484,0.2580645,0.2645161,0.2857143,0.2142857,0.0714286,0.1785714,0.25,0.375753,0.2733434,0.2131024,0.1167169,0.0210843,0.3027108,0.1927711,0.1626506,0.1603916,0.1814759
26407,Plentywood,MT,417,0.1666667,0.1060606,0.2272727,0.1818182,0.3181818,0.0697674,0.1705426,0.1937985,0.255814,0.3100775,0.0852713,0.1627907,0.2093023,0.2248062,0.3178295,0.0394737,0.1447368,0.1578947,0.2763158,0.381579,0,0,0.3076923,0.1538462,0.5384616,0.1598063,0.3123487,0.3123487,0.1840194,0.031477,0.0823245,0.1476998,0.2009685,0.2348668,0.3341404
26408,Glasgow,MT,1246,0.267148,0.2057762,0.1805054,0.1805054,0.166065,0.1732523,0.1671733,0.212766,0.2218845,0.224924,0.083871,0.1967742,0.2096774,0.2612903,0.2483871,0.108871,0.1491936,0.1814516,0.233871,0.3266129,0.125,0.125,0.125,0.2,0.425,0.2226688,0.2644694,0.2491961,0.1993569,0.0643087,0.1559485,0.1768489,0.192926,0.2234727,0.2508039
26409,Glendive,MT,1144,0.1282051,0.2,0.1846154,0.2205128,0.2666667,0.1571906,0.1438127,0.1605351,0.2240803,0.3143813,0.0806452,0.1354839,0.2,0.2258064,0.3580645,0.0743494,0.0929368,0.1784387,0.2713755,0.3828996,0.056338,0.0985916,0.084507,0.2535211,0.5070422,0.1704545,0.2613636,0.270979,0.2351399,0.0620629,0.1057692,0.1363636,0.1748252,0.2368881,0.3461539
26410,Dickinson,ND,2679,0.1188119,0.1732673,0.1707921,0.2079208,0.3292079,0.0933544,0.1297468,0.1677215,0.1946203,0.414557,0.0871261,0.0988296,0.1313394,0.2587776,0.4239272,0.0652866,0.0907643,0.1321656,0.2675159,0.4442675,0.0772358,0.097561,0.1300813,0.1829268,0.5121951,0.1508025,0.2359089,0.2870474,0.2344158,0.0918253,0.087346,0.1153415,0.14595,0.2310564,0.4203061
26411,Sidney,ND,2252,0.2870159,0.1731207,0.1708428,0.118451,0.2505695,0.1423895,0.1603928,0.1603928,0.2209493,0.3158756,0.0868113,0.1435726,0.1702838,0.21202,0.3873122,0.0649351,0.0779221,0.1645022,0.2251082,0.4675325,0.0992908,0.0851064,0.1134752,0.212766,0.4893617,0.1949378,0.2713144,0.2659858,0.205151,0.062611,0.1372114,0.1367673,0.1629663,0.1989343,0.3641208
26412,Williston,ND,2565,0.1691542,0.1368159,0.141791,0.2139304,0.3383085,0.1068702,0.110687,0.1622137,0.2175573,0.4026718,0.0870147,0.107095,0.1432396,0.2248996,0.437751,0.0769231,0.0849359,0.1233974,0.213141,0.5016026,0.0820896,0.0783582,0.1044776,0.1865672,0.5485075,0.1567252,0.2042885,0.2912281,0.2432749,0.1044834,0.1009747,0.1040936,0.1380117,0.2148148,0.4421053
26501,Brookings,SD,3214,0.1909091,0.1909091,0.2060606,0.2454545,0.1666667,0.1092564,0.1745068,0.2124431,0.2731411,0.2306525,0.0826693,0.1394422,0.2290837,0.2988048,0.25,0.0888078,0.1143552,0.2019465,0.2737226,0.3211679,0.0701754,0.0877193,0.1654135,0.2807018,0.39599,0.1026758,0.2050405,0.3123833,0.2557561,0.1241444,0.0992533,0.139079,0.208463,0.2794026,0.2738021
26502,Madison,SD,1345,0.1787709,0.1843575,0.2178771,0.2346369,0.1843575,0.086262,0.1373802,0.2651757,0.2843451,0.2268371,0.0731707,0.1365854,0.204878,0.302439,0.2829268,0.0574324,0.097973,0.2297297,0.2567568,0.3581081,0.0344828,0.0482759,0.1517241,0.2965517,0.4689655,0.1332837,0.2330603,0.3052867,0.2204021,0.1079672,0.0826508,0.1250931,0.2204021,0.278481,0.293373
26503,Sioux Falls,SD,16116,0.2637008,0.2288846,0.2159897,0.1727917,0.1186331,0.1407018,0.194386,0.2508772,0.234386,0.1796491,0.1039579,0.1745992,0.2367235,0.2542585,0.2304609,0.0739982,0.1297814,0.2233607,0.2709472,0.3019126,0.0783549,0.1158811,0.1732213,0.2698889,0.3626539,0.0962398,0.1768429,0.2477041,0.2725242,0.206689,0.1123728,0.1589725,0.2204641,0.2506826,0.2575081
26504,Watertown,SD,3798,0.16,0.2164706,0.2352941,0.2447059,0.1435294,0.1117949,0.1846154,0.2051282,0.2892308,0.2092308,0.0745192,0.1426282,0.2027244,0.2996795,0.2804487,0.0548128,0.118984,0.1911765,0.2981283,0.3368984,0.0646766,0.0746269,0.159204,0.2810945,0.420398,0.111901,0.256714,0.328594,0.1969458,0.1058452,0.0887309,0.1498157,0.2001053,0.2885729,0.2727751
26601,Milbank,MN,1850,0.212766,0.1787234,0.2340426,0.2042553,0.1702128,0.0873984,0.1402439,0.2337398,0.2804878,0.2581301,0.0661157,0.1371901,0.1933884,0.2842975,0.3190083,0.0621469,0.0988701,0.2062147,0.2711864,0.3615819,0.0301205,0.0963855,0.1385542,0.2710843,0.4638554,0.1268899,0.2656587,0.3266739,0.1911447,0.0896328,0.0863931,0.1322894,0.2068035,0.2694384,0.3050756
26602,Sisseton,SD,1964,0.3276231,0.1905782,0.2184154,0.1563169,0.1070664,0.205298,0.1837748,0.1937086,0.2003311,0.2168874,0.120229,0.1507634,0.2080153,0.269084,0.2519084,0.0866426,0.0938628,0.1805054,0.2635379,0.3754513,0.045977,0.1034483,0.183908,0.2528736,0.4137931,0.2383869,0.3083206,0.2674834,0.1413987,0.0444104,0.1878509,0.1602859,0.201123,0.2194998,0.2312404
