CZ,CZ Name,State,Children in 1980-85 Cohorts,P(Child q1 |Par q1),P(Child q2 |Par q1),P(Child q3 |Par q1),P(Child q4 |Par q1),P(Child q5 |Par q1),P(Child q1 |Par q2),P(Child q2 |Par q2),P(Child q3 |Par q2),P(Child q4 |Par q2),P(Child q5 |Par q2),P(Child q1 |Par q3),P(Child q2 |Par q3),P(Child q3 |Par q3),P(Child q4 |Par q3),P(Child q5 |Par q3),P(Child q1 |Par q4),P(Child q2 |Par q4),P(Child q3 |Par q4),P(Child q4 |Par q4),P(Child q5 |Par q4),P(Child q1 |Par q5),P(Child q2 |Par q5),P(Child q3 |Par q5),P(Child q4 |Par q5),P(Child q5 |Par q5),P(Par q1),P(Par q2),P(Par q3),P(Par q4),P(Par q5),P(Child Q1),P(Child Q2),P(Child Q3),P(Child Q4),P(Child Q5)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Sylva,NC,3410,0.3277887,0.2661448,0.2113503,0.1340509,0.0606654,0.2505198,0.2661123,0.2318087,0.1538462,0.0977131,0.168,0.196,0.2146667,0.2573333,0.164,0.1192214,0.2019465,0.2043796,0.243309,0.2311435,0.1358491,0.1622642,0.1924528,0.2377359,0.2716981,0.2997068,0.2821114,0.2199413,0.1205279,0.0777126,0.2307918,0.2348974,0.2155425,0.1879765,0.1307918
1203,Asheville,NC,24957,0.3650552,0.2653217,0.1893795,0.1168633,0.0633803,0.2653894,0.2362959,0.2205074,0.1761575,0.1016498,0.1834278,0.2158286,0.2289306,0.2190156,0.1527974,0.1511156,0.1766734,0.2144016,0.246856,0.2109533,0.1321674,0.1528096,0.1803326,0.2362385,0.2984518,0.2105221,0.2258685,0.2263093,0.1975398,0.1397604,0.2266298,0.2143286,0.2090396,0.1957367,0.1542653
1204,Andrews,NC,3687,0.33395,0.2553191,0.2081406,0.1221092,0.080481,0.2296015,0.231499,0.2125237,0.2096774,0.1166983,0.1906519,0.2078721,0.2238622,0.2300123,0.1476015,0.1273101,0.1622177,0.2279261,0.2648871,0.2176591,0.1507937,0.1507937,0.1309524,0.3015873,0.265873,0.2931923,0.2858693,0.2205045,0.1320857,0.0683483,0.2327095,0.2186059,0.210198,0.2020613,0.1364253
1301,Bennettsville,SC,5968,0.3936795,0.3322799,0.1638826,0.0803612,0.0297968,0.3090425,0.2978723,0.2159574,0.1191489,0.0579787,0.1972428,0.2396607,0.2311771,0.21421,0.1177094,0.135514,0.1666667,0.2133956,0.2523364,0.2320872,0.125,0.1527778,0.1631944,0.2291667,0.3298611,0.3711461,0.3150134,0.1580094,0.1075737,0.0482574,0.2952413,0.2803284,0.1962131,0.1394102,0.088807
1302,Florence,SC,42138,0.3805885,0.3331018,0.1720131,0.0786183,0.0356782,0.2795627,0.2976236,0.2163498,0.126616,0.0798479,0.1991104,0.2383988,0.2219422,0.1906597,0.1498888,0.1400459,0.1935422,0.2185709,0.2250669,0.2227742,0.1285827,0.142782,0.1848541,0.227452,0.3163292,0.3758128,0.2496559,0.1600693,0.1242109,0.0902511,0.2736959,0.274574,0.198016,0.1401585,0.1135555
1400,Fayetteville,NC,50306,0.3929615,0.3096946,0.1724436,0.0866534,0.038247,0.2999488,0.2869266,0.2091594,0.1346843,0.0692809,0.2080078,0.2427734,0.2367187,0.1875,0.125,0.1649725,0.1987637,0.2225275,0.2221154,0.1916209,0.1365541,0.1520828,0.1841262,0.2457481,0.2814888,0.2993679,0.2717171,0.2035542,0.1447144,0.0806464,0.2763686,0.2611219,0.2036934,0.1526657,0.1061504
1500,Wilmington,NC,23683,0.4040519,0.2947639,0.167927,0.0914538,0.0418034,0.2940737,0.2632268,0.2157413,0.1392784,0.0876799,0.2301878,0.209705,0.2245794,0.1926359,0.142892,0.1711485,0.1955265,0.2224177,0.2113596,0.1995476,0.1392912,0.1543914,0.1879815,0.2265023,0.2918336,0.2959507,0.2258582,0.1731622,0.1680108,0.1370181,0.2736984,0.2370054,0.2004391,0.1584259,0.1304311
1600,Wilson,NC,16971,0.3983649,0.321256,0.1713118,0.0771089,0.0319584,0.2979689,0.307049,0.2031063,0.1249701,0.0669056,0.1955229,0.2374956,0.2490381,0.1773347,0.1406086,0.1344538,0.1828731,0.204882,0.2396959,0.2380952,0.1065494,0.1378299,0.1832845,0.2600195,0.3123167,0.3171292,0.2465971,0.1684639,0.1472512,0.1205586,0.2653939,0.2611514,0.198633,0.1517883,0.1230334
1701,Raleigh,NC,86697,0.3853916,0.2978482,0.1711441,0.0956295,0.0499866,0.284465,0.2676424,0.2144419,0.14369,0.0897607,0.2001763,0.213327,0.2285114,0.1999729,0.1580125,0.1422021,0.1714405,0.2164592,0.2335497,0.2363485,0.1212798,0.1311019,0.1825731,0.2361521,0.328893,0.1726011,0.1899258,0.1701558,0.1936976,0.2736196,0.2153362,0.2076196,0.2010335,0.1876766,0.1883341
1702,Henderson,NC,4683,0.4264463,0.2942149,0.1741047,0.0716253,0.0336088,0.3223022,0.2935252,0.2223022,0.1043165,0.057554,0.223176,0.2317597,0.2174535,0.1945637,0.1330472,0.1506849,0.1585127,0.2426614,0.2250489,0.223092,0.141791,0.119403,0.2089552,0.2238806,0.3059702,0.3875721,0.2968183,0.1492633,0.1091181,0.0572283,0.3188127,0.2598762,0.2043562,0.1251335,0.0918215
1800,Goldsboro,NC,15517,0.3678791,0.3010517,0.1842682,0.1014461,0.045355,0.2802517,0.2579865,0.2182962,0.1563407,0.0871249,0.1885246,0.2102774,0.2405422,0.2064943,0.1541614,0.1309575,0.1807643,0.2228424,0.2318592,0.2335766,0.1128788,0.1333333,0.1628788,0.2386364,0.3522727,0.294129,0.2662886,0.204421,0.1500935,0.085068,0.2506284,0.2387059,0.2088033,0.1687826,0.1330798
1900,Jacksonville,NC,37821,0.3743245,0.3021311,0.1818089,0.0947283,0.0470072,0.2679696,0.2715527,0.2157438,0.1515744,0.0931596,0.1796057,0.2163543,0.2319299,0.2134339,0.1586761,0.1474079,0.1805122,0.2189257,0.2350094,0.2181449,0.1319943,0.1365375,0.1865136,0.2295552,0.3153993,0.2593004,0.2435155,0.2172867,0.1693239,0.1105735,0.2408979,0.2371434,0.2077682,0.1730256,0.141165
